"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
37	0.000000000000000e+00	1.541429999996923e-01	1.176829268292683e+00	1.225745504857561e+03	-1.730127425902157e-13	8.916599999981265e+05	1.013250000000000e+05	2.999999999999999e+02	-6.838868435311574e-17	2.999999999995598e+00	
38	0.000000000000000e+00	1.588139999996787e-01	1.176829268292682e+00	1.225745504857560e+03	-2.027158669706357e-13	8.916599999981263e+05	1.013249999999999e+05	3.000000000000001e+02	-1.139811405885262e-16	2.999999999995599e+00	
39	0.000000000000000e+00	1.634849999996652e-01	1.176829268292682e+00	1.225745504857561e+03	-8.202193602709507e-14	8.916599999981262e+05	1.013249999999998e+05	2.999999999999996e+02	-2.735547374124630e-16	2.999999999995601e+00	
40	0.000000000000000e+00	1.681559999996516e-01	1.176829268292682e+00	1.225745504857560e+03	-1.027518580416871e-13	8.916599999981264e+05	1.013250000000000e+05	3.000000000000002e+02	6.838868435311574e-17	2.999999999995596e+00	
41	0.000000000000000e+00	1.728269999996380e-01	1.176829268292683e+00	1.225745504857561e+03	-5.027985994609245e-14	8.916599999981269e+05	1.013250000000001e+05	3.000000000000002e+02	1.595735968239367e-16	2.999999999995596e+00	
42	0.000000000000000e+00	1.774979999996245e-01	1.176829268292683e+00	1.225745504857561e+03	4.777038881708947e-15	8.916599999981269e+05	1.013250000000000e+05	3.000000000000001e+02	4.559245623541049e-17	2.999999999995598e+00	
43	0.000000000000000e+00	1.821689999996109e-01	1.176829268292682e+00	1.225745504857560e+03	-6.901312889975939e-14	8.916599999981259e+05	1.013249999999999e+05	2.999999999999999e+02	-1.367773687062315e-16	2.999999999995598e+00	
44	0.000000000000000e+00	1.868399999995974e-01	1.176829268292682e+00	1.225745504857560e+03	-1.229560721094693e-13	8.916599999981259e+05	1.013250000000000e+05	3.000000000000002e+02	2.279622811770525e-17	2.999999999995596e+00	
45	0.000000000000000e+00	1.915109999995838e-01	1.176829268292683e+00	1.225745504857561e+03	2.096426208760854e-14	8.916599999981266e+05	1.013250000000000e+05	2.999999999999998e+02	-6.838868435311574e-17	2.999999999995599e+00	
46	0.000000000000000e+00	1.961819999995703e-01	1.176829268292683e+00	1.225745504857561e+03	7.661699535877992e-14	8.916599999981264e+05	1.013250000000001e+05	3.000000000000002e+02	1.367773687062315e-16	2.999999999995596e+00	
47	0.000000000000000e+00	2.008529999995567e-01	1.176829268292683e+00	1.225745504857561e+03	4.568479098565282e-17	8.916599999981264e+05	1.013249999999999e+05	2.999999999999998e+02	-1.595735968239367e-16	2.999999999995599e+00	
48	0.000000000000000e+00	2.055239999995431e-01	1.176829268292682e+00	1.225745504857560e+03	-6.165619498328022e-15	8.916599999981263e+05	1.013249999999999e+05	2.999999999999999e+02	-1.367773687062315e-16	2.999999999995599e+00	
49	0.000000000000000e+00	2.101949999995296e-01	1.176829268292683e+00	1.225745504857561e+03	2.041833779771213e-14	8.916599999981266e+05	1.013250000000000e+05	2.999999999999999e+02	0.000000000000000e+00	2.999999999995598e+00	
50	0.000000000000000e+00	2.148659999995161e-01	1.176829268292683e+00	1.225745504857560e+03	-1.106620103811644e-15	8.916599999981264e+05	1.013250000000002e+05	3.000000000000007e+02	3.647396498832839e-16	2.999999999995592e+00	
51	0.000000000000000e+00	2.195369999995025e-01	1.176829268292683e+00	1.225745504857561e+03	1.094670695333007e-13	8.916599999981269e+05	1.013250000000002e+05	3.000000000000004e+02	2.735547374124630e-16	2.999999999995595e+00	
52	0.000000000000000e+00	2.242079999994889e-01	1.176829268292683e+00	1.225745504857561e+03	8.130065703091318e-14	8.916599999981269e+05	1.013250000000000e+05	2.999999999999999e+02	0.000000000000000e+00	2.999999999995598e+00	
53	0.000000000000000e+00	2.288789999994773e-01	1.176829268292684e+00	1.225745504857561e+03	-3.139085283834514e-14	8.916599999981265e+05	1.013250000000000e+05	2.999999999999998e+02	-4.559245623541049e-17	2.999999999995599e+00	
54	0.000000000000000e+00	2.335499999994672e-01	1.176829268292683e+00	1.225745504857562e+03	3.789892057331770e-14	8.916599999981266e+05	1.013249999999998e+05	2.999999999999994e+02	-2.507585092947577e-16	2.999999999995601e+00	
55	0.000000000000000e+00	2.382209999994571e-01	1.176829268292682e+00	1.225745504857561e+03	1.099036905757829e-13	8.916599999981266e+05	1.013249999999998e+05	2.999999999999994e+02	-3.875358780009892e-16	2.999999999995603e+00	
56	0.000000000000000e+00	2.428919999994455e-01	1.176829268292682e+00	1.225745504857561e+03	1.037993845607801e-13	8.916599999981266e+05	1.013249999999998e+05	2.999999999999994e+02	-3.875358780009892e-16	2.999999999995603e+00	
57	0.000000000000000e+00	2.475629999994320e-01	1.176829268292683e+00	1.225745504857561e+03	-1.034269844273722e-13	8.916599999981265e+05	1.013249999999999e+05	2.999999999999996e+02	-1.595735968239367e-16	2.999999999995600e+00	
58	0.000000000000000e+00	2.522339999994154e-01	1.176829268292683e+00	1.225745504857561e+03	-1.997948406982259e-13	8.916599999981264e+05	1.013249999999998e+05	2.999999999999994e+02	-2.507585092947577e-16	2.999999999995600e+00	
59	0.000000000000000e+00	2.569049999993972e-01	1.176829268292683e+00	1.225745504857560e+03	-2.396232202934923e-13	8.916599999981262e+05	1.013250000000002e+05	3.000000000000004e+02	2.507585092947577e-16	2.999999999995594e+00	
60	0.000000000000000e+00	2.615759999993767e-01	1.176829268292684e+00	1.225745504857561e+03	-1.818045283532811e-13	8.916599999981264e+05	1.013250000000001e+05	3.000000000000002e+02	2.279622811770525e-16	2.999999999995594e+00	
