id,label,file,comp1,comp2
53,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.6_0.6_ma_6.249_pres_163501_interpolated_arrays.npz,91.7551,152.132
54,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.1_0.1_ma_2.857_pres_111185_interpolated_arrays.npz,-205.77,-38.4371
55,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.7_0.7_ma_2.98_pres_150915_interpolated_arrays.npz,87.3373,-109.271
56,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.1_0.1_ma_3.17_pres_153381_interpolated_arrays.npz,76.7429,-9.94822
57,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.9_0.9_ma_5.922_pres_125248_interpolated_arrays.npz,-124.112,29.6757
58,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.0_0.0_ma_3.298_pres_109837_interpolated_arrays.npz,-200.226,-158.464
59,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.4_0.4_ma_3.907_pres_154079_interpolated_arrays.npz,89.1926,-85.0497
60,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.4_0.4_ma_2.506_pres_190323_interpolated_arrays.npz,326.458,-96.2472
61,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.1_0.1_ma_6.258_pres_169098_interpolated_arrays.npz,145.307,53.2737
62,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.9_0.9_ma_2.506_pres_190323_interpolated_arrays.npz,362.833,-84.6661
63,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.3_0.3_ma_6.077_pres_109747_interpolated_arrays.npz,-232.456,37.2897
