x,V101_H321,V151_H421,V201_H521,V301_H621,V401_H721
8.713309765025449571e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.866873715203581197e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
9.020437665381712822e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
9.174001615559844447e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
9.327565565737977460e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
9.481129515916109085e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136453e+00
9.634693466094240710e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136453e+00
9.788257416272372335e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
9.941821366450503961e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.009538531662863559e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.024894926680676721e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.040251321698489884e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.055607716716303046e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136453e+00
1.070964111734116209e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.086320506751929371e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
